,tot_view,totdat_YJwordview_after_x
nth,117590074,4.012995221174099
핌,113573405,4.0126384585819155
Apple,110866404,4.012389027198799
15,109957152,4.012303537197597
앞,109652283,4.012274675209265
잘,109652283,4.012274675209265
템,109652283,4.012274675209265
쁘,109652283,4.012274675209265
❌,108507024,4.012165352900733
서,107732506,4.012090601549789
먹,107732506,4.012090601549789
💪,106657240,4.0119857059506066
상,106148877,4.011935653491924
ac,105957676,4.011916750812217
CP,105957676,4.011916750812217
ữ,104240540,4.011745061039822
ầ,104240540,4.011745061039822
ồ,104240540,4.011745061039822
ش,102591484,4.011576826558102
☠,102509580,4.011568383068896
65,102371144,4.011554092553495
입,101807450,4.011495653614184
쩍,101807450,4.011495653614184
번,101807450,4.011495653614184
68,101687510,4.011483167213057
ノ,99775710,4.011281624726698
57,97699065,4.011057176277564
animal,96276093,4.010899915644757
Queencard,95546250,4.010818128034097
أ,95426590,4.010804644391636
NG,93861872,4.010626363623159
yth,93861872,4.010626363623159
36,93222635,4.010552461032484
ct,92921297,4.010517403717362
721,91573885,4.010358895313764
ENG,89934550,4.010162078681704
身,87151680,4.009817510949082
命,85705178,4.009632944678921
る,84311028,4.009451345680657
56,83146425,4.009296753253331
E,81411540,4.009061383724802
내,79348368,4.008773200797125
😥,77630460,4.008526022838925
ف,76943613,4.008425281526992
إ,76943613,4.008425281526992
💦,74603560,4.008073458052291
Day,73825704,4.007953449932889
ndo,72474422,4.007741178464674
🥺,71507644,4.007586257095083
🐱,70874792,4.007483424621672
B,69969300,4.007334283119802
cos,68163784,4.00702958882708
局,66517140,4.006742800814795
ム,66517140,4.006742800814795
放送,66517140,4.006742800814795
毎,66517140,4.006742800814795
🫢,65565588,4.006573007457807
ibi,64486314,4.006376665829349
找出,62759608,4.006053867193597
ith,62578109,4.006019294659704
nch,59872521,4.005488612875116
AL,59872521,4.005488612875116
💍,59435218,4.00540003274577
🏠,59185149,4.005349012780871
123,58866208,4.005283549982168
BA,58795037,4.0052688817429365
😏,58617652,4.005232226414021
aespa,57882328,4.005078788852902
配,57780267,4.00505730013626
ウ,56207352,4.004720018917565
band,56175208,4.0047130039443894
IB,55941476,4.004661844298751
SUB,55941476,4.004661844298751
Jason,55120326,4.004479974669553
콘,53866253,4.004195601652732
–,52822624,4.003952582475167
화,52741257,4.0039333841773495
変,52291008,4.003826477656901
Nh,52120270,4.003785637354493
Ph,52120270,4.003785637354493
🎵,51701824,4.003684836383309
ئ,51295742,4.003586036644218
反,50923875,4.003494702309777
거,50903725,4.003489729531116
總裁,50523135,4.003395341004033
ジ,49887855,4.003235796345058
呪,49887855,4.003235796345058
戦,49887855,4.003235796345058
週木曜夜,49887855,4.003235796345058
廻,49887855,4.003235796345058
渋,49887855,4.003235796345058
全国,49887855,4.003235796345058
KO,49644846,4.0031740957921045
der,49591014,4.003160376770178
ô,48503116,4.002879082527792
66,47906819,4.002721541236824
说了算,47626494,4.002646632414372
HAPPY,46930936,4.002458366057072
APP,46930936,4.002458366057072
🦃,46930936,4.002458366057072
king,46902746,4.002450662639842
IVE,45429362,4.002039806390901
📶,44967275,4.001907518198794
🇹,44587869,4.001797626875106
這是,44530842,4.001781008785032
NBA,44487781,4.001768442900892
58,43443270,4.001458910683919
宝,42852589,4.001279730592596
做救,42852589,4.001279730592596
一命,42852589,4.001279730592596
呆萌,42852589,4.001279730592596
触电,42852589,4.001279730592596
电,42852589,4.001279730592596
CT,42665654,4.001222382413524
🥚,42490788,4.001168452506746
オ,42155514,4.001064273638864
개,41272011,4.000784723644503
ء,40897110,4.000663837010843
patrickzeinali,40478083,4.000527076266303
무,39674184,4.000259693040368
pl,39319745,4.000139649372008
Pay,38766577,3.9999495776601606
眾,38520178,3.999863821835234
配配,38520178,3.999863821835234
ㅣ,38161485,3.999737753666388
61,38128000,3.999725909499316
ớ,36872130,3.9992720889003053
ih,36377337,3.999087968051058
thu,36377337,3.999087968051058
李玟,35941680,3.9989232491131848
Sing,35488950,3.9987494166351216
색,35382959,3.9987083201729923
립,35382959,3.9987083201729923
변,35382959,3.9987083201729923
틱,35382959,3.9987083201729923
CTI,35026169,3.9985688440781266
バ,34860672,3.998503545420533
ヤ,34860672,3.998503545420533
Prime,33324759,3.99787847875256
ク,33258570,3.997850738155564
GOAL,32781940,3.9976489230625467
⏪,32781940,3.9976489230625467
초,32100453,3.997353924222286
