,tot_view,totdat_YJwordview_before_x
命理,2596116,4.116384229270033
ã,2583305,4.116231301481972
ă,2583305,4.116231301481972
果,2556727,4.1159110245107
偷襲,2556727,4.1159110245107
記錄,2530946,4.115596397179339
共富,2513710,4.115383834913707
眼球,2509842,4.11533588550914
千千,2509842,4.11533588550914
爆大,2412644,4.114100119367988
單元,2412644,4.114100119367988
京都,2412644,4.114100119367988
Aimer,2379058,4.1136587349150755
NHK,2379058,4.1136587349150755
燈神,2374534,4.11359869279295
梅西,2373567,4.1135858405221795
沒想,2373567,4.1135858405221795
🧧,2347065,4.113231066866782
测试,2278120,4.112284452444268
樂壇,2274762,4.112237445677251
碎屍,2215908,4.111399391906156
遇害,2215908,4.111399391906156
風雲榜,2213116,4.11135895355417
鄺球,2134232,4.110189671120118
面有,2114921,4.109895275391721
湯,2114921,4.109895275391721
Son,2109996,4.109819662099684
PimwTalk,2105677,4.109753173027699
全台,2089680,4.109505430694448
前導,2089680,4.109505430694448
萬獸,2089680,4.109505430694448
金剛,2089680,4.109505430694448
變形,2089680,4.109505430694448
깨,2023604,4.108456723282293
걸,2023604,4.108456723282293
分屍案,2016320,4.108338532105088
马,1979685,4.107735983276169
李正皓,1967916,4.107539484697138
贏面,1952474,4.10727944723768
DPP,1952474,4.10727944723768
習,1947087,4.107188133767866
卜,1947087,4.107188133767866
烹屍,1925082,4.106811865610293
徐,1924408,4.106800256972937
過年,1924408,4.106800256972937
企,1924408,4.106800256972937
Ep1,1924408,4.106800256972937
根,1917270,4.106677006523587
不死,1914124,4.1066225050373015
攻克,1914124,4.1066225050373015
良醫,1907548,4.106508223765985
星街,1894898,4.1062870103689155
譚仔,1885221,4.106116551170585
東張,1884392,4.106101898182513
西望,1884392,4.106101898182513
被判,1780378,4.10419749650936
量子,1777775,4.104148085844403
捡起来,1771964,4.104037457071589
捡起,1771964,4.104037457071589
签完,1771964,4.104037457071589
情商,1771964,4.104037457071589
名笔,1771964,4.104037457071589
眼疾手快,1771964,4.104037457071589
方文山,1740747,4.103435383221768
20230216,1736364,4.1033497820013105
江澤民,1729745,4.10322000383235
性,1729745,4.10322000383235
強個性,1729745,4.10322000383235
經濟騰,1729745,4.10322000383235
方舟,1709562,4.102820458471905
十週,1709562,4.102820458471905
MAYDAY,1709562,4.102820458471905
讨厌,1704364,4.102716613758407
奕,1692249,4.1024730562746115
🥂,1672426,4.102069856091934
辦法,1670526,4.10203090018734
老歌,1670526,4.10203090018734
KKBOX,1659837,4.1018107175382745
宣萱,1650892,4.1016251088684506
買門票,1644748,4.101496899643063
皇帝,1644748,4.101496899643063
最慘,1644748,4.101496899643063
末代皇帝,1644748,4.101496899643063
傀儡,1644748,4.101496899643063
當了,1644748,4.101496899643063
火車,1641260,4.101423850607659
奔赴,1638974,4.101375870887187
大打出手,1617417,4.100919316368308
风,1610092,4.100762466489938
波氏,1609400,4.100747603163074
體溫,1609400,4.100747603163074
鷹,1609400,4.100747603163074
妈,1588563,4.100296315430345
看雲起,1584366,4.100204531685153
哥来,1576974,4.100042144116179
小然,1576974,4.100042144116179
予告,1571887,4.099929845579101
淪陷,1560936,4.099686564810708
神之子,1555434,4.0995635385027756
五歲,1555434,4.0995635385027756
忽视,1540194,4.099219941288474
岳云鹏,1540194,4.099219941288474
柳岩,1540194,4.099219941288474
快悔,1540194,4.099219941288474
一山腸子,1540194,4.099219941288474
楊紫張,1540194,4.099219941288474
镜头,1540194,4.099219941288474
箱,1534722,4.099095544709056
学妹,1534662,4.09909417767571
宇宸,1534662,4.09909417767571
伊冉,1534662,4.09909417767571
恋,1534662,4.09909417767571
门门,1534662,4.09909417767571
陈百强,1531988,4.099033186425156
人去,1530596,4.099001384228736
小妹妹,1530596,4.099001384228736
目憤,1505627,4.098424789432615
上節,1505627,4.098424789432615
開轟,1505627,4.098424789432615
張淑晶,1505627,4.098424789432615
離席,1505627,4.098424789432615
经理,1501569,4.0983299644951465
一手,1495355,4.098184144152255
今晚,1492893,4.098126162617704
防疫,1477608,4.097763528867627
蔡天,1477272,4.097755505333408
害命,1477272,4.097755505333408
謀財,1477272,4.097755505333408
啾,1474972,4.097700521725093
懷胎,1469624,4.097572262360994
寧靜海,1451472,4.097132590807815
走近,1440616,4.096866381305788
不安,1431776,4.096647770538373
寶貝,1431776,4.096647770538373
口岸,1425665,4.096495670052529
電視,1412484,4.096164840121134
Baby,1410642,4.09611830408342
崩溃,1410642,4.09611830408342
不平,1401190,4.095878323333485
20230121,1401190,4.095878323333485
温馨,1397871,4.095793581001542
辣晚,1397634,4.095787520294522
寶慧,1375770,4.09522287506447
超車,1375770,4.09522287506447
20221222,1367996,4.095019431320588
頻繁,1367156,4.094997363237797
化,1335792,4.094161185864787
初恋,1323918,4.093838267116695
身後時,1321185,4.093763435204956
當異,1321185,4.093763435204956
內閣,1319146,4.093707480942312
酥脆,1313980,4.093565235904998
欠學,1313980,4.093565235904998
一博,1313526,4.093552702063657
直,1313526,4.093552702063657
方水太深,1313526,4.093552702063657
繞,1313526,4.093552702063657
关,1313526,4.093552702063657
龔俊,1313526,4.093552702063657
關曉彤,1313526,4.093552702063657
教訓,1311944,4.093508985018582
流行榜,1299864,4.093173004033002
急眼,1298669,4.093139557935888
很守,1298669,4.093139557935888
透,1298058,4.093122442350873
進出,1293946,4.093006995817822
決勝,1293946,4.093006995817822
対,1293946,4.093006995817822
杯,1293946,4.093006995817822
ワ,1293946,4.093006995817822
プ,1293946,4.093006995817822
歓,1293946,4.093006995817822
狂熱,1287475,4.092824398211163
屍體,1283388,4.092708486716273
烹屍案,1283388,4.092708486716273
錯人,1280990,4.092640264496693
魔術師,1279567,4.092599706031937
醫,1279567,4.092599706031937
醫聯盟,1279567,4.092599706031937
寶寶的,1265473,4.092194964042227
含娃量,1265473,4.092194964042227
本期,1265473,4.092194964042227
天成,1265473,4.092194964042227
吳金,1254921,4.091888275695646
胡椒,1254921,4.091888275695646
腦,1254921,4.091888275695646
逆,1254921,4.091888275695646
灣,1254921,4.091888275695646
逆境,1254921,4.091888275695646
YARTIST,1254921,4.091888275695646
賤葆金,1254921,4.091888275695646
薩泰爾,1254921,4.091888275695646
劉芒,1254921,4.091888275695646
灣尋奇,1254921,4.091888275695646
看蛇丸,1254921,4.091888275695646
魚腦,1254921,4.091888275695646
針菇,1254921,4.091888275695646
壹加,1254921,4.091888275695646
阿圓,1254921,4.091888275695646
稜,1254921,4.091888275695646
全明星,1254921,4.091888275695646
Fred,1254921,4.091888275695646
HOW,1254921,4.091888275695646
劉德華唱,1250956,4.091772210508827
糾正,1250956,4.091772210508827
第一等,1250956,4.091772210508827
北,1244640,4.091586384072754
婷,1244265,4.091575314373415
預言人類,1239836,4.091444261219373
粮,1229006,4.091121352773793
合,1224221,4.0909775609829495
天衣,1224221,4.0909775609829495
數億名畫,1224221,4.0909775609829495
🎨,1224221,4.0909775609829495
數億,1224221,4.0909775609829495
篩,1214062,4.090669962509781
很大,1214062,4.090669962509781
星宇,1206322,4.090433465361108
連載,1206322,4.090433465361108
三組,1206322,4.090433465361108
MOKUYO,1206322,4.090433465361108
想升,1201366,4.09028104715704
龍尾村,1200876,4.090265935372061
Abby,1200876,4.090265935372061
HK,1189529,4.0899138438619405
コ,1189529,4.0899138438619405
幾田,1189529,4.0899138438619405
ボ,1189529,4.0899138438619405
紅白,1189529,4.0899138438619405
露,1189529,4.0899138438619405
Vaundy,1189529,4.0899138438619405
披露,1189529,4.0899138438619405
20230305,1188254,4.089874022068721
上流,1188254,4.089874022068721
一法師,1187267,4.089843159049238
現代,1187267,4.089843159049238
精靈,1187267,4.089843159049238
三千年,1187267,4.089843159049238
阿拉丁,1187267,4.089843159049238
愛戀,1187267,4.089843159049238
三千,1187267,4.089843159049238
最殘酷,1185351,4.089783156053013
殘,1185351,4.089783156053013
滅國,1184230,4.08974799432749
覆,1184230,4.08974799432749
發揮,1176690,4.089510418315421
美國國,1170702,4.089320399990442
耶穌,1166350,4.089181542093104
听见,1160498,4.088993811807573
雨,1160498,4.088993811807573
下雨,1160498,4.088993811807573
左邊,1148824,4.088615795878831
一週,1148824,4.088615795878831
呼叫,1148052,4.088590630579642
助產士,1148052,4.088590630579642
世一,1140244,4.0883349281214025
校花,1135032,4.088163034503249
迅,1128166,4.087935097064355
考駕照,1126852,4.087891279502249
路考,1126852,4.087891279502249
要出,1126852,4.087891279502249
不出意外,1126852,4.087891279502249
熊館,1124934,4.08782720709079
多謝,1124934,4.08782720709079
有天,1124088,4.087798902837484
趣味,1121064,4.0876975146165035
网友,1121064,4.0876975146165035
相助,1120420,4.087675879037645
紅包,1116812,4.087554381230132
富衛,1106558,4.0872064177094165
沉睡,1103574,4.0871044084852
免疫,1103574,4.0871044084852
機會,1092246,4.086714031195787
无限,1091768,4.086697448832974
戰機,1090167,4.086641842925915
捅,1090167,4.086641842925915
张译,1078278,4.0862257327692095
20230205,1066665,4.085813773663563
