,tot_view_before_x,totdat_YJwordview_before_x,tot_view_after_x,totdat_YJwordview_after_x,YJwordview_before_x,YJwordview_after_x,sta_YJview_before_x,sta_YJview_after_x,diff_sta_YJ_view
YouTube,134349,3.984091489,145672965,4.015127353,4.990970805,7.090921852,-1.108633265,1.814277146,-2.922910411
?,15903176,4.161968017,144705820,4.015062717,5.400862934,7.090325466,1.587378205,1.812407902,-0.225029698
1,9541959,4.151022738,144359666,4.015039452,5.371508182,7.090110918,1.39430119,1.811735447,-0.417434257
?,4252925,4.130781446,137855784,4.01458895,5.319364293,7.085968318,1.051331631,1.798751353,-0.747419722
?,1588563,4.100296315,134801345,4.014368136,5.244997318,7.083946013,0.562192651,1.792412871,-1.23022022
ï™,10009638,4.152104785,133034280,4.014237521,5.374370628,7.082752308,1.413128551,1.788671459,-0.375542908
Åâ,1107308,4.087232003,128980624,4.013929542,5.214371099,7.079944982,0.36075273,1.779872493,-1.419119763
òV?,1655452,4.101719884,128557767,4.013896721,5.248375794,7.079646413,0.584414133,1.778936695,-1.194522562
?,401897,4.044012235,128239355,4.013871918,5.117264582,7.079420859,-0.27795259,1.778229743,-2.056182333
?,15302092,4.161187566,127996962,4.013852985,5.398739142,7.07924873,1.573409243,1.777690242,-0.204280999
?,9401056,4.15068383,124552232,4.013578991,5.370613332,7.076762027,1.388415433,1.769896203,-0.381480771
ÉC,3143774,4.122166672,122012352,4.013370846,5.297891481,7.074878288,0.910097042,1.763992027,-0.853894985
åW,15185846,4.161032258,119848456,4.013189206,5.3983171,7.073238157,1.570633315,1.758851385,-0.18821807
òVåˆ,2284656,4.112375701,118748912,4.013095334,5.273941214,7.0723919,0.752567313,1.756198975,-1.003631662
Éì,6287548,4.141055397,116404995,4.012891561,5.345513126,7.070558027,1.223322134,1.75045109,-0.527128956
èp,1279567,4.092599706,116404995,4.012891561,5.226873843,7.070558027,0.442987886,1.75045109,-1.307463204
çs,835263,4.076224933,112414704,4.012532609,5.189062728,7.067338079,0.194290253,1.740358851,-1.546068598
?,401897,4.044012235,102591484,4.011576827,5.117264582,7.058828201,-0.27795259,1.713686458,-1.991639048
Ég,3881838,4.128242976,99775710,4.011281625,5.312996012,7.056218282,1.0094451,1.705506225,-0.696061126
??,68187,3.938471494,99289692,4.01122962,4.899767721,7.05575939,-1.708509534,1.704067926,-3.41257746
çÏ,6673092,4.142538007,98362866,4.011129563,5.349338918,7.054877225,1.248485779,1.701302969,-0.45281719
?,803794,4.074668305,95426590,4.010804644,5.185517796,7.052019256,0.170973931,1.692345274,-1.521371344
ãÁéq,19368535,4.165852195,95252988,4.010785045,5.411507849,7.051847186,1.657393731,1.691805959,-0.034412228
?,15560778,4.161528008,94337388,4.010680933,5.399664957,7.050933776,1.579498668,1.688943069,-0.109444401
åF,1081506,4.08633927,89061684,4.01005545,5.212302193,7.045468007,0.347144778,1.671811786,-1.324667008
?,594784,4.061961522,85705178,4.009632945,5.156878515,7.041796832,-0.017397162,1.660305273,-1.677702435
movie,121667,3.977867615,85241736,4.009572989,4.978302552,7.041277219,-1.191957031,1.658676656,-2.850633687
É^,2587892,4.116286165,84311028,4.009451346,5.283451592,7.040224008,0.815120573,1.65537559,-0.840255017
ìX,978234,4.082483269,84311028,4.009451346,5.203399425,7.040224008,0.288587995,1.65537559,-1.366787595
a,2583305,4.116231301,82868104,4.009259408,5.283317664,7.038564947,0.814239677,1.65017562,-0.835935943
40,1914124,4.106622505,82085875,4.009153606,5.26007642,7.037651865,0.661373461,1.647313758,-0.985940297
?,803794,4.074668305,81794220,4.009113836,5.185517796,7.037308905,0.170973931,1.646238824,-1.475264893
??,54828,3.922187204,81380268,4.009057084,4.86806874,7.036819759,-1.917005405,1.644705699,-3.561711104
??,133823,3.983848,80612890,4.00895092,4.990473767,7.035905516,-1.111902467,1.6418402,-2.753742667
ï™è‡,13346184,4.158359506,77144652,4.008454884,5.391084109,7.031647322,1.523059269,1.628493802,-0.105434533
ê^,13346184,4.158359506,75499550,4.008209773,5.391084109,7.029551315,1.523059269,1.621924315,-0.098865046
ì˜,1680933,4.102243608,71439741,4.007575278,5.249620847,7.024150185,0.592603305,1.604995629,-1.012392324
Éã,14184165,4.159630029,70259190,4.007382291,5.394515355,7.02251435,1.545627842,1.599868453,-0.054240612
??,61006,3.93026538,70052338,4.00734806,4.883741499,7.022224532,-1.813919895,1.598960082,-3.412879977
íZ?,2301993,4.112616188,69955110,4.007331927,5.27452403,7.022087974,0.756400711,1.598532068,-0.842131357
Éå,1189529,4.089913844,66517140,4.006742801,5.22060413,7.017116636,0.401749671,1.582950474,-1.181200802
É},377387,4.04097355,66517140,4.006742801,5.110648776,7.017116636,-0.321467182,1.582950474,-1.904417656
âÒ,7528135,4.145478664,63091956,4.006116852,5.356968437,7.01186672,1.298667934,1.566495731,-0.267827798
?,4089411,4.129698037,62661720,4.006035237,5.316642033,7.011184609,1.033426323,1.564357802,-0.530931479
î¸êH,10543632,4.153266362,62487324,4.006001955,5.377452746,7.010906609,1.433400774,1.563486471,-0.130085697
??,10539762,4.153258207,61333338,4.005778768,5.377431073,7.009044724,1.433258227,1.557650789,-0.124392562
SEVENTEEN,7951588,4.146786142,60271965,4.005568822,5.36037874,7.007297028,1.321098752,1.552173009,-0.231074257
?éj,838722,4.076391607,59342040,4.005381054,5.189442784,7.005736993,0.196790025,1.547283413,-1.350493388
î¸èó,6905979,4.143383229,57749224,4.005050755,5.351526163,7.002999709,1.262872095,1.538703981,-0.275831885
íßùD,2698608,4.11757507,57423519,4.004981814,5.286602112,7.002429487,0.835842704,1.536916742,-0.701074038
Éâ,3143774,4.122166672,56207352,4.004720019,5.297891481,7.000267583,0.910097042,1.530140717,-0.620043676
êS,5727104,4.138687252,55564243,4.00457871,5.339430464,6.999102925,1.183314224,1.526490346,-0.343176122
?,5069932,4.135516273,55564243,4.00457871,5.331338552,6.999102925,1.130090744,1.526490346,-0.396399602
?,7951588,4.146786142,53866253,4.004195602,5.36037874,6.995953302,1.321098752,1.516618526,-0.195519774
â»äw,10544985,4.153269212,53653932,4.004146639,5.37746032,6.995551599,1.433450595,1.515359472,-0.081908877
48,469354,4.051315548,53493908,4.004109576,5.133270123,6.995247652,-0.172678253,1.514406816,-1.687085069
?,2023604,4.108456723,53379528,4.004083,5.264480705,6.995029771,0.690342063,1.513723915,-0.823381852
27,9199080,4.150186925,53365844,4.004079816,5.369302755,6.995003669,1.379795287,1.513642105,-0.133846818
îL,3180201,4.122506462,53305010,4.004065648,5.298731098,6.994887539,0.915619507,1.51327812,-0.597658613
ê¨,8858311,4.149317222,53265630,4.004056466,5.367013056,6.994812284,1.364735091,1.51304225,-0.148307158
?,401897,4.044012235,51295742,4.003586037,5.117264582,6.990965569,-0.27795259,1.500985541,-1.778938132
èZ,4103988,4.129796777,50069071,4.003281564,5.316889869,6.988484974,1.035056433,1.493210646,-0.458154213
Ée,2379058,4.113658735,49887855,4.003235796,5.277053715,6.988112707,0.773039378,1.492043857,-0.719004479
28,229523,4.0153088,49887855,4.003235796,5.055723461,6.988112707,-0.682731205,1.492043857,-2.174775062
?,2023604,4.108456723,48003650,4.00274729,5.264480705,6.984149184,0.690342063,1.47962104,-0.789278977
îÈñß,6805970,4.143024645,47473632,4.002605552,5.350597673,6.983002556,1.25676507,1.476027181,-0.219262111
ûŸ,1821286,4.104962493,46978900,4.00247146,5.256103101,6.981919155,0.635239476,1.472631491,-0.837392015
emo,9401056,4.15068383,46120182,4.00223448,5.370613332,6.980007749,1.388415433,1.466640597,-0.078225164
öI,8303966,4.147810245,44590728,4.001798459,5.363057847,6.976501776,1.338720224,1.455651875,-0.116931651
ïú,4998528,4.135141309,44045810,4.001638586,5.330385606,6.975219749,1.123822868,1.451633635,-0.327810768
íZåÄ,169207,3.998021467,44045810,4.001638586,5.019607037,6.975219749,-0.920282224,1.451633635,-2.371915859
ïΩ,2886612,4.119620688,43834308,4.001575868,5.291618814,6.97471732,0.868839395,1.450058878,-0.581219482
íjéq,5343168,4.136893085,43552920,4.001491838,5.334844674,6.974044617,1.153151798,1.447950434,-0.294798636
scienceexperiment,7669080,4.145923734,43269300,4.001406455,5.358128052,6.973361597,1.306295148,1.445809654,-0.139514507
äÏ,1293946,4.093006996,42852589,4.001279731,5.227827022,6.972348846,0.44925729,1.442635402,-0.993378112
?,805046,4.074731665,42852589,4.001279731,5.185661926,6.972348846,0.171921931,1.442635402,-1.270713471
??,100002,3.965122352,42662896,4.001221534,4.952591683,6.971884139,-1.361066884,1.44117888,-2.802245763
??,100002,3.965122352,42662896,4.001221534,4.952591683,6.971884139,-1.361066884,1.44117888,-2.802245763
î¬,1298058,4.093122442,42155514,4.001064274,5.228097318,6.970629616,0.451035127,1.437246843,-0.986211716
??,47339,3.910738471,39821718,4.000309267,4.84602648,6.964631177,-2.061985468,1.418446017,-3.480431485
??,56959,3.92509546,39474705,4.000192298,4.873699518,6.963705462,-1.879969704,1.415544562,-3.295514266
åÃéñ,6098976,4.140288725,38738640,3.999939889,5.34354014,6.961711121,1.21034508,1.409293726,-0.198948646
òHêl,400581,4.043854958,38520178,3.999863822,5.11692154,6.961110967,-0.2802089,1.407412671,-1.687621572
è¨ñ≠,5751810,4.138797589,38402825,3.999822738,5.339713107,6.960786989,1.185173274,1.406397233,-0.22122396
ì|,3419990,4.124629391,38306060,3.999788744,5.303990176,6.960519008,0.950210402,1.405557303,-0.455346901
ëÂ?,126665,3.980412155,37843600,3.999624787,4.983472616,6.959227632,-1.157951619,1.401509763,-2.559461381
??,420362,4.046154106,37703868,3.999574756,5.121943084,6.958833938,-0.247180361,1.400275812,-1.647456172
?,7780389,4.14626814,37597032,3.999536347,5.359026282,6.958531816,1.312203136,1.399328874,-0.087125738
à”äO,5634260,4.138267295,37446245,3.999481904,5.33835535,6.958103751,1.176242808,1.397987199,-0.22174439
ó‚,7669080,4.145923734,37344175,3.999444896,5.358128052,6.957812883,1.306295148,1.397075533,-0.090780386
?,1257855,4.09197387,37336830,3.999442228,5.225410454,6.957791917,0.433362632,1.397009821,-0.963647189
èKãﬂ,7139319,4.144195496,37140055,3.999370508,5.353632422,6.957228503,1.276725735,1.395243918,-0.118518184
18,3848816,4.128002636,37139085,3.999370153,5.312394881,6.957225717,1.005491243,1.395235187,-0.389743944
ëSãÖ,2997960,4.120756148,36762942,3.999231724,5.294412308,6.956139262,0.887213238,1.391829926,-0.504616688
24,976237,4.082403804,36386484,3.9990914,5.203216521,6.955039264,0.287384963,1.388382219,-1.100997256
ã},5194676,4.136155941,35537984,3.998768377,5.332966115,6.952512164,1.140795825,1.380461561,-0.239665736
ÊÓíÖ,370080,4.040020165,35529200,3.998764983,5.108578231,6.952485647,-0.33508592,1.380378451,-1.715464372
??,370080,4.040020165,35529200,3.998764983,5.108578231,6.952485647,-0.33508592,1.380378451,-1.715464372
?,7780389,4.14626814,35382959,3.99870832,5.359026282,6.952043097,1.312203136,1.378991371,-0.066788235
?,7780389,4.14626814,35382959,3.99870832,5.359026282,6.952043097,1.312203136,1.378991371,-0.066788235
ê∂,6673092,4.142538007,34663203,3.998425124,5.349338918,6.949834491,1.248485779,1.372068969,-0.12358319
åàíË,202103,4.008245385,33903672,3.998118217,5.040886067,6.947447,-0.780322204,1.36458589,-2.144908095
?,925325,4.080307344,33823685,3.998085398,5.198399219,6.947192064,0.255699793,1.363786847,-1.108087054
ï˙,2875905,4.119508658,33258570,3.997850738,5.291343541,6.94537131,0.867028826,1.358080081,-0.491051255
ñÈ,2458461,4.114690151,33258570,3.997850738,5.27956137,6.94537131,0.789533151,1.358080081,-0.56854693
Éb,1293946,4.093006996,33258570,3.997850738,5.227827022,6.94537131,0.44925729,1.358080081,-0.908822791
Ér,1189529,4.089913844,33258570,3.997850738,5.22060413,6.94537131,0.401749671,1.358080081,-0.95633041
íJ,655972,4.06619248,33258570,3.997850738,5.1663569,6.94537131,0.044945664,1.358080081,-1.313134417
ì™ûä,3376516,4.124258408,32403668,3.997486133,5.303069479,6.942549465,0.94415464,1.349235611,-0.405080971
åZíÌ,2447120,4.114545374,32078286,3.997344198,5.279209077,6.941453304,0.787215991,1.345799929,-0.558583939
?,4252925,4.130781446,31510584,3.99709221,5.319364293,6.939510426,1.051331631,1.339710394,-0.288378763
íu,143348,3.98808331,31379804,3.997033357,4.999136286,6.939057251,-1.05492589,1.338290014,-2.393215904
â§,6567630,4.142143174,31064260,3.996890091,5.348318727,6.937955005,1.241775608,1.334835259,-0.093059651
â¸ùÃ,1723236,4.103091783,30603157,3.996677441,5.251639664,6.936321369,0.605881806,1.329714977,-0.723833171
ìä,833088,4.076119693,30554325,3.996654688,5.188822802,6.936146738,0.192712174,1.329167633,-1.136455459
åªõâ,738012,4.071156603,30355890,3.996561756,5.177550454,6.935433848,0.118569789,1.326933233,-1.208363444
??,1581105,4.10013301,29263456,3.996036217,5.24461029,6.931412671,0.559647028,1.314329713,-0.754682684
ïb,4943694,4.134848838,28309398,3.995556833,5.329642877,6.927759757,1.118937665,1.302880435,-0.18394277
ÉO,661959,4.066580129,28103676,3.995450822,5.167228149,6.926953873,0.050676189,1.300354562,-1.249678373
ëSèW,1782381,4.104235457,27719760,3.995250372,5.25436665,6.925431983,0.623818196,1.295584523,-0.671766327
îöèŒ,3299475,4.123586261,27289776,3.99502172,5.30140317,6.923698979,0.93319471,1.290152794,-0.356958084
ùD,976237,4.082403804,26653488,3.994674991,5.203216521,6.921077136,0.287384963,1.281935187,-0.994550224
ñ|,1375770,4.095222875,26646900,3.994671347,5.233024187,6.921049622,0.483440959,1.281848949,-0.79840799
îj,1254921,4.091888276,26235924,3.994441792,5.225210427,6.919317871,0.432046984,1.276421145,-0.844374161
ÅE,1571887,4.099929846,26183580,3.994412234,5.244128954,6.91909511,0.556481102,1.27572295,-0.719241847
ê¬,1540194,4.099219941,26183580,3.994412234,5.242448381,6.91909511,0.545427357,1.27572295,-0.730295593
ìsés,117714,3.975761851,25909300,3.994256133,4.974033469,6.917919582,-1.220036362,1.272038508,-2.492074869
êH,878636,4.07825551,25785084,3.994184758,5.193699443,6.91738258,0.224787638,1.27035539,-1.045567752
ùè,2365728,4.113481414,25441100,3.993984847,5.276623099,6.915880123,0.770207061,1.265646258,-0.495439197
ãﬂïΩ,3894174,4.128332112,25363940,3.993939542,5.313219036,6.915539954,1.010912011,1.264580072,-0.253668062
ñ‘è„,673838,4.067336606,24873928,3.993647756,5.16892973,6.913352059,0.061868116,1.257722582,-1.195854466
??,2229293,4.111592385,24805542,3.993606465,5.272044702,6.913042852,0.740093254,1.256753441,-0.516660187
??,2120134,4.109975074,24677856,3.993528988,5.268137818,6.912462939,0.714396244,1.254935826,-0.540539582
?âe,307510,4.030767912,24211650,3.993241802,5.088609013,6.910316445,-0.466430821,1.248208099,-1.71463892
?çŸ,337071,4.03540351,23793066,3.992978016,5.098586123,6.908349093,-0.400807693,1.242041854,-1.642849547
?,3487883,4.12519725,23723976,3.99293392,5.305400856,6.908020615,0.959488965,1.241012312,-0.281523346
1984,88534,3.956904401,23616020,3.992864696,4.93617181,6.907505188,-1.469066435,1.239396816,-2.708463251
ÁŒê∂,699456,4.06891335,23556752,3.992826525,5.172482286,6.907221086,0.085234582,1.238506359,-1.153271777
?,3429062,4.124706072,23279805,3.992646556,5.30418057,6.905882761,0.951462692,1.234311664,-0.282848972
îΩú‰,1313022,4.093538782,23151270,3.992562121,5.229072528,6.905255508,0.457449446,1.232345673,-0.774896228
éxéù,796086,4.07427552,22932912,3.992417333,5.184624597,6.904180855,0.165099036,1.228977404,-1.063878368
õIü∑,239810,4.017694343,22629615,3.992213346,5.060760575,6.902668861,-0.649600248,1.224238384,-1.873838632
??,392522,4.042877687,22618538,3.992205832,5.114791504,6.902613208,-0.294218934,1.224063951,-1.518282885
?,748932,4.071765746,22450940,3.992091574,5.178929537,6.90176739,0.127640527,1.221412913,-1.093772386
çR,1148824,4.088615796,22211240,3.9919263,5.217583887,6.90054523,0.381884419,1.217582315,-0.835697896
?,300052,4.029510862,21659716,3.991537431,5.085912962,6.897675728,-0.48416374,1.208588476,-1.692752216
ù`ìo,4047912,4.129414536,21645420,3.991527188,5.315930749,6.897600256,1.028747945,1.208351922,-0.179603977
íµ,4904165,4.134635503,21607852,3.991500229,5.329101425,6.897401655,1.115376336,1.20772945,-0.092353114
îè,5551950,4.137887773,21450384,3.99138659,5.337384664,6.896564949,1.169858248,1.205106974,-0.035248726
î\óÕ,694806,4.068632502,21329470,3.991298623,5.171848921,6.895917754,0.081068709,1.203078481,-1.122009773
ùÃ,2089680,4.109505431,21186801,3.991194026,5.267005531,6.89514877,0.70694877,1.200668266,-0.493719496
çDãh,694066,4.068587594,20829108,3.990927877,5.171747668,6.893194835,0.080402732,1.194544073,-1.114141341
îíé≠,5254104,4.13645404,20467332,3.990652832,5.333725415,6.891179698,1.14579002,1.188228056,-0.042438036
êﬂñ⁄,4516881,4.132426054,20431648,3.990625374,5.323509087,6.890978759,1.078593468,1.187598255,-0.109004788
ê`çÑ,961974,4.081830345,20358624,3.990568999,5.20189726,6.890566318,0.278707698,1.186305548,-0.907597851
??,318856,4.032609762,20310060,3.990531367,5.092566572,6.890291103,-0.440400496,1.185442944,-1.62584344
EP,5207300,4.136219616,20293041,3.990518152,5.333128261,6.890194479,1.141862315,1.185140098,-0.043277783
